Rank,SEASON,Player,Team,Pos,Round,Pick,STICK %,NBA_YOS
1,2015,Kris Dunn,Providence,G,1,5,95.99,10
2,2015,Pascal Siakam,New Mexico State,G,1,27,95.01,10
3,2015,Dejounte Murray,Washington,G,1,29,94.26,8
4,2015,Jamal Murray,Kentucky,G,1,7,94.16,9
5,2015,Denzel Valentine,Michigan State,G,1,14,93.07,5
6,2015,Jaylen Brown,California,F,1,3,92.77,10
7,2015,Jakob Poeltl,Utah,F,1,9,92.54,10
8,2015,Ben Simmons,Louisiana State,G,1,1,92.34,7
9,2015,Marquese Chriss,Washington,F,1,8,92.22,6
10,2015,Malik Beasley,Florida State,G,1,19,92.01,9
11,2015,Brandon Ingram,Duke,F,1,2,88.42,10
12,2015,Patrick McCaw,UNLV,G,2,38,87.24,5
13,2015,Damion Lee,Louisville,G,0,0,84.47,7
14,2015,Domantas Sabonis,Gonzaga,G,1,11,84.06,10
15,2015,Buddy Hield,Oklahoma,G,1,6,83.53,10
16,2015,Dorian Finney-Smith,Florida,F,0,0,82.21,9
17,2015,Tyrone Wallace,California,G,2,60,81.67,4
18,2015,Taurean Prince,Baylor,F,1,12,80.49,10
19,2015,Ryan Anderson,Arizona,F,0,0,79.21,4
20,2015,Malcolm Brogdon,Virginia,G,2,36,75.98,9
21,2015,Derrick Jones Jr.,UNLV,F,0,0,75.63,10
22,2015,Jarrod Uthoff,Iowa,G,0,0,74.97,2
23,2015,Bryn Forbes,Michigan State,G,0,0,67.69,7
24,2015,Alex Caruso,Texas A&M,G,0,0,61.64,9
25,2015,Perry Ellis,Kansas,G,0,0,61.31,0
26,2015,DeAndre Bembry,Saint Joseph's,F,1,21,60.14,0
27,2015,Wayne Selden Jr.,Kansas,G,0,0,59.87,0
28,2015,Caris LeVert,Michigan,G,1,20,59.05,10
29,2015,Jaysean Paige,West Virginia,G,0,0,58.2,1
30,2015,Fred VanVleet,Wichita State,G,0,0,57.34,9
31,2015,Elgin Cook,Oregon,G,0,0,56.79,0
32,2015,Yogi Ferrell,Indiana,G,0,0,56.48,5
33,2015,Brice Johnson,North Carolina,F,1,25,56.41,2
34,2015,Kyle Collinsworth,Brigham Young,G,0,0,56.4,1
35,2015,Kyle Wiltjer,Gonzaga,F,0,0,56.05,1
36,2015,Troy Williams,Indiana,F,0,0,55.18,3
37,2015,Michael Gbinije,Syracuse,F,2,49,52.64,1
38,2015,Shonn Miller,Connecticut,F,0,0,50.82,0
39,2015,Ben Bentil,Providence,G,2,51,48.4,1
40,2015,Danuel House,Texas A&M,G,0,0,48.22,0
41,2015,Isaiah Whitehead,Seton Hall,G,2,42,47.34,2
42,2015,Gary Payton II,Oregon State,G,0,0,47.04,10
43,2015,Retin Obasohan,Alabama,G,0,0,46.29,0
44,2015,Tyler Ulis,Kentucky,G,2,34,46.1,3
45,2015,Julian Jacobs,Southern California,G,0,0,45.39,0
46,2015,Marcus Georges-Hunt,Georgia Tech,G,0,0,45.23,2
47,2015,Jonathan Holton,West Virginia,F,0,0,43.48,0
48,2015,Isaiah Miles,Saint Joseph's,G,0,0,41.98,0
49,2015,Shavon Shields,Nebraska,G,0,0,41.81,0
50,2015,Demetrius Jackson,Notre Dame,G,2,45,36.83,3
51,2015,Sheldon McClellan,Miami (FL),F,0,0,35.71,0
52,2015,Thomas Walkup,Stephen F. Austin,G,0,0,34.61,0
53,2015,Henry Ellenson,Marquette,G,1,18,33.49,5
54,2015,Anthony Gill,Virginia,F,0,0,33.28,6
55,2015,Ron Baker,Wichita State,G,0,0,32.56,3
56,2015,Nic Moore,SMU,G,0,0,32.55,0
57,2015,Angel Rodriguez,Miami (FL),G,0,0,31.9,0
58,2015,Chase Fischer,Brigham Young,G,0,0,28.96,0
59,2015,Tim Quarterman,Louisiana State,G,0,0,28.38,2
60,2015,Robert Carter,Maryland,F,0,0,28.36,0
61,2015,Jake Layman,Maryland,F,2,47,27.74,6
62,2015,Daniel Hamilton,Connecticut,G,2,56,26.41,2
63,2015,Malachi Richardson,Syracuse,G,1,22,25.93,3
64,2015,Marcus Paige,North Carolina,G,2,55,25.86,1
65,2015,Nick Faust,Long Beach State,G,0,0,22.14,0
66,2015,Kevin Punter,Tennessee,F,0,0,22.12,0
67,2015,James Webb,Boise State,F,0,0,20.11,0
68,2015,Kay Felder,Oakland,G,2,54,18.68,2
69,2015,Michael Carrera,South Carolina,F,0,0,18.28,0
70,2015,David Nwaba,Cal Poly,G,0,0,18.13,6
71,2015,Stefan Moody,Ole Miss,G,0,0,17.62,0
72,2015,Marvelle Harris,Fresno State,F,0,0,17.31,0
73,2015,Diamond Stone,Maryland,C,2,40,17.21,1
74,2015,Patricio Garino,George Washington,G,0,0,16.83,1
75,2015,Jameel Warney,Stony Brook,F,0,0,16.69,1
76,2015,Aaron Valdes,Hawaii,G,0,0,16.64,0
77,2015,Isaiah Taylor,Texas,G,0,0,15.95,2
78,2015,Wade Baldwin IV,Vanderbilt,G,1,17,15.41,3
79,2015,Ryan Arcidiacono,Villanova,G,0,0,15.34,7
80,2015,Anthony Barber,NC State,G,0,0,15.12,0
81,2015,Shawn Long,Louisiana–Lafayette,G,0,0,14.68,1
82,2015,Georges Niang,Iowa State,F,2,50,13.52,9
83,2015,D'Vauntes Smith-Rivera,Georgetown,G,0,0,12.96,0
84,2015,Austin Montgomery,Utah,F,0,0,12.94,0
85,2015,Alex Hamilton,Louisiana Tech,G,0,0,12.86,0
86,2015,Josh Scott,Colorado,F,0,0,12.83,0
87,2015,Matt Costello,Michigan State,F,0,0,12.37,1
88,2015,Johnny Hill,Purdue,G,0,0,12.26,0
89,2015,Mark Tollefsen,Arizona,F,0,0,12.01,0
90,2015,Melvin Johnson,VCU,G,0,0,11.58,0
91,2015,Tyler Cavanaugh,George Washington,G,0,0,11.25,2
92,2015,Toddrick Gotcher,Texas Tech,G,0,0,11.11,0
93,2015,A.J. English,Iona,G,0,0,11.07,0
94,2015,Armani Moore,Tennessee,G,0,0,10.15,0
95,2015,Alex Poythress,Kentucky,F,0,0,10.04,3
96,2015,Gabe York,Arizona,G,0,0,9.86,2
97,2015,Devon Bookert,Florida State,G,0,0,9.45,0
98,2015,Josh Hagins,Little Rock,G,0,0,9.41,0
99,2015,Stefan Jankovic,Hawaii,F,0,0,9.36,0
100,2015,Brannen Greene,Kansas,G,0,0,9.32,0
1,2016,Zach Collins,Gonzaga,F,1,10,96.69,7
2,2016,Donovan Mitchell,Louisville,G,1,13,95.88,9
3,2016,Josh Hart,Villanova,G,1,30,93.06,9
4,2016,Josh Jackson,Kansas,G,1,4,92.89,5
5,2016,Jayson Tatum,Duke,F,1,3,92.28,8
6,2016,Jarrett Allen,Texas,F,1,22,92.18,9
7,2016,Jonathan Isaac,Florida State,F,1,6,91.47,7
8,2016,Lauri Markkanen,Arizona,F,1,7,91.22,9
9,2016,Derrick White,Colorado,G,1,29,91.07,9
10,2016,Lonzo Ball,UCLA,G,1,2,90.79,7
11,2016,Markelle Fultz,Washington,G,1,1,87.03,8
12,2016,De'Anthony Melton,Southern California,G,2,46,85.16,7
13,2016,Bam Adebayo,Kentucky,F,1,14,84.97,9
14,2016,Thomas Bryant,Indiana,C,2,42,81.9,9
15,2016,Dillon Brooks,Oregon,F,2,45,81.77,9
16,2016,Luke Kennard,Duke,G,1,12,81.64,9
17,2016,De'Aaron Fox,Kentucky,G,1,5,81.58,8
18,2016,Malik Monk,Kentucky,G,1,11,81.51,9
19,2016,Dennis Smith Jr.,NC State,G,1,9,80.63,7
20,2016,John Collins,Wake Forest,G,1,19,80.49,9
21,2016,OG Anunoby,Indiana,F,1,23,79.94,9
22,2016,Damyean Dotson,Houston,G,2,44,78.54,5
23,2016,Luke Kornet,Vanderbilt,F,0,0,75.7,9
24,2016,Kyle Kuzma,Utah,F,1,27,73.5,9
25,2016,Jamel Artis,Pittsburgh,G,0,0,72.38,1
26,2016,Frank Jackson,Duke,G,2,31,69.49,5
27,2016,Michael Young,Pittsburgh,G,0,0,62.64,0
28,2016,Tarik Phillip,West Virginia,G,0,0,60.22,0
29,2016,Dwayne Bacon,Florida State,F,2,40,60.13,4
30,2016,Tony Bradley,North Carolina,F,1,28,56.26,8
31,2016,Lorenzo Bonam,Utah,G,0,0,54.98,0
32,2016,Charles Cooke,Dayton,G,0,0,54.46,1
33,2016,JaJuan Johnson,Marquette,G,0,0,52.27,0
34,2016,Isaiah Briscoe,Kentucky,G,0,0,50.18,1
35,2016,Alec Peters,Valparaiso,G,2,54,49.75,1
36,2016,Monte Morris,Iowa State,G,2,51,48.79,0
37,2016,Jaron Blossomgame,Clemson,F,2,59,48.77,1
38,2016,Ivan Rabb,California,F,2,35,48.28,2
39,2016,Melo Trimble,Maryland,G,0,0,46.33,0
40,2016,Nigel Williams-Goss,Gonzaga,G,2,55,45.3,1
41,2016,Davon Reed,Miami (FL),G,2,32,43.3,4
42,2016,JeQuan Lewis,VCU,G,0,0,42.51,0
43,2016,Tyler Dorsey,Oregon,G,2,41,41.15,3
44,2016,Andrew White III,Syracuse,G,0,0,40.9,1
45,2016,Sterling Brown,SMU,G,2,46,39.17,6
46,2016,Devin Robinson,Florida,F,0,0,37.99,2
47,2016,Malcolm Hill,Illinois,G,0,0,37.4,2
48,2016,Jeremy Senglin,Weber State,G,0,0,36.96,0
49,2016,Frank Mason,Kansas,G,2,34,36.15,0
50,2016,Semi Ojeleye,SMU,G,2,37,35.29,5
51,2016,Justin Jackson,North Carolina,G,1,15,34.18,0
52,2016,Edmond Sumner,Xavier,G,2,52,33.21,5
53,2016,Matt Mobley,St. Bonaventure,G,0,0,32.54,0
54,2016,T.J. Cline,Richmond,F,0,0,31.86,0
