Season_Year,Player,Team,Pred_Stick_Proba,Stick_NBA
2020,Aaron Henry,Michigan State,0.2393,0
2020,Miles McBride,West Virginia,0.2375,0
2020,Justin Champagnie,Pittsburgh,0.2366,0
2020,Joe Wieskamp,Iowa,0.2301,0
2020,James Bouknight,Connecticut,0.2142,0
2020,McKinley Wright IV,Colorado,0.1777,0
2020,D.J. Carton,Marquette,0.1755,0
2020,Day'Ron Sharpe,North Carolina,0.1676,0
2020,Joel Ayayi,Gonzaga,0.1368,0
2020,Jaden Springer,Tennessee,0.1352,0
2021,Chet Holmgren,Gonzaga,0.9783,1
2021,Bennedict Mathurin,Arizona,0.9557,1
2021,Jaden Ivey,Purdue,0.9541,1
2021,Christian Braun,Kansas,0.9535,1
2021,Jake Laravia,Wake Forest,0.9484,1
2021,Paolo Banchero,Duke,0.9463,1
2021,Walker Kessler,Auburn,0.9242,1
2021,Isaiah Mobley,Southern California,0.9191,1
2021,Keegan Murray,Iowa,0.9169,1
2021,Jalen Williams,Santa Clara,0.8832,1
2021,Jeremy Sochan,Baylor,0.8762,1
2021,Mark Williams,Duke,0.8448,1
2021,Jalen Duren,Memphis,0.8326,1
2021,Julian Champagnie,St. John's (NY),0.8029,1
2021,Tari Eason,Louisiana State,0.6706,1
2021,Jacob Gilyard,Richmond,0.6268,1
2021,David Roddy,Colorado State,0.3738,0
2021,Jalen Johnson,Mercer,0.3293,1
2021,Kenneth Lofton Jr.,Louisiana Tech,0.2547,0
2021,Orlando Robinson,Fresno State,0.2424,0
2021,E.J. Liddell,Ohio State,0.2285,0
2021,Alondes Williams,Wake Forest,0.222,0
2021,Kennedy Chandler,Tennessee,0.2212,0
2021,Kendall Brown,Baylor,0.2206,0
2021,Quenton Jackson,Texas A&M,0.2046,0
2021,Ron Harper Jr.,Rutgers,0.1721,0
2021,Josh Minott,Memphis,0.1709,0
2021,Johnny Davis,Wisconsin,0.1691,0
2021,Vince Williams Jr.,VCU,0.1576,0
2021,Dalen Terry,Arizona,0.157,0
2022,Keyonte George,Baylor,0.9309,1
2022,Brandon Miller,Alabama,0.9244,1
2022,Cason Wallace,Kentucky,0.8981,1
2022,Brandin Podziemski,Santa Clara,0.8651,1
2022,Anthony Black,Arkansas,0.8598,1
2022,Dereck Lively II,Duke,0.8383,1
2022,Jaime Jaquez Jr.,UCLA,0.8073,1
2022,Toumani Camara,Dayton,0.7926,1
2022,Will Richard,Florida,0.7476,1
2022,Drew Timme,Gonzaga,0.745,1
2022,Marcus Bagley,Arizona State,0.7209,1
2022,Gradey Dick,Kansas,0.213,0
2022,Taylor Hendricks,UCF,0.2113,0
2022,Jarace Walker,Houston,0.2097,0
